ID-EVENTO,TITULO,PRECIO,DIAS-SEMANA,DIAS-EXCLUIDOS,FECHA,FECHA-FIN,HORA,DESCRIPCION,CONTENT-URL,TITULO-ACTIVIDAD,URL-ACTIVIDAD,URL-INSTALACION,NOMBRE-INSTALACION,ACCESIBILIDAD-INSTALACION,ADDRESS,DISTRITO-INSTALACION,BARRIO-INSTALACION,CODIGO-POSTAL-INSTALACION,COORDINATES,TIPO,AUDIENCIA
11217275,Espacio profesional: recursos públicos,Gratuito,,19/3/2021;,2021-10-13,2021-10-13,11:00,"¿Conoces los recursos de empleo? ¿Sabes los servicios y apoyos que prestan cada uno y cómo acceder a ellos? En este taller abordaremos las diferentes alternativas que tenemos a nuestro alcance, para poder elaborar nuestra 'guía de recursos de empleo' personalizada y aprovechar al máximo los servicios de los que disponemos en nuestro distrito.Miércoles 13 de octubre de 11 a 12:30 h.Actividad dirigida a mujeres.Plazas limitadas, se solicita inscripción previa.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=92b383bb74354710VgnVCM1000001d4a900aRCRD,Desarrollo profesional,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=da4db6e17ad44710VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7b6882025c4b2610VgnVCM2000001f4a900aRCRD,Espacio de Igualdad Lucrecia Pérez. Fuencarral-El Pardo,1,"CALLE MANRESA, 1",FUENCARRAL-EL PARDO,VALVERDE,28034,"40.49120609425076,-3.6916379633219116",EnLinea,Mujeres
11332038,Espacio tecno-mayores. Practicando con Zoom,Gratuito,X,,2021-10-13,2021-10-20,11:30,Este es un espacio de iniciación y apropiación de las tecnologías para mujeres mayores de 60.Este mes vamos a conocer la aplicación de la Comunidad de Madrid 'Cita Sanitaria Madrid'.¿Te has encontrado con dificultades para pedir cita en tu Centro de Salud porque comunicaba constantemente? ¿Has intentado solicitar la cita a través de internet pero has tenido dificultades?En este taller de empoderamiento digital podrás practicar y conocer la aplicación con todo detalle. Podrás preguntar todas las dudas que tengas y haremos muchos ejercicios prácticos que te darán la seguridad que necesitas para que gestiones tus citas sanitarias a través de tu móvil.Se solicita inscripción previa.Miércoles 13 y 20 de octubre de 11:30 a 12:30 h.Actividad presencial con aforo limitado.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c4a50bd7b2ac7710VgnVCM2000001f4a900aRCRD,Competencias digitales,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d1018640ce566710VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6a38fb412e9a2610VgnVCM2000001f4a900aRCRD,Espacio de Igualdad Berta Cáceres. Usera,1,"CALLE GRAN AVENIDA, 14",USERA,ORCASITAS,28041,"40.36902428128397,-3.710212677306876",CursosTalleres,Mujeres
11342166,Espacios cerrados,No hay información,,,2021-10-13,2021-10-13,19:30,"Mónica Campillo, clarinete, Juan Luis Gallego, violín Obras de Eugène Ysaÿe, Jorge Fernández Guerra, Tom Johnson",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4cdec43764cf7710VgnVCM1000001d4a900aRCRD,Disidencias II. Laberintos de nuestro tiempo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4318c43764cf7710VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5ff519cd7bcee210VgnVCM1000000b205a0aRCRD,CentroCentro,1,"PLAZA CIBELES, 1",RETIRO,LOS JERONIMOS,28014,"40.419011767401095,-3.692206111679657",ProgramacionDestacadaAgendaCultura,
11480490,Espectáculo de circo: Mike Dosperillas,Gratuito,,,2021-10-08,2021-10-08,19:00,"Dosperillas es un personaje hilarante y 'enfadado'. Es un juglar moderno, el loco del tarot.  Con el circo como excusa y el público como cómplice, Dosperillas nos hará pasar una hora entre asombro, risas y silencios. Premio Festival de Artistas de Calle de Aranda de Duero 2014. Premio del Festival No solo circo 2016",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e364d9e5e0d2c710VgnVCM2000001f4a900aRCRD,Actividades. Centro Cultural Alfredo Kraus (Fuencarral - El Pardo). Septiembre 2021,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb478ad174414510VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7337cbf06c81c010VgnVCM1000000b205a0aRCRD,Centro Cultural Alfredo Kraus (Fuencarral - El Pardo),1,"GLORIETA PRADERA DE VAQUERIZAS, 9",FUENCARRAL-EL PARDO,MIRASIERRA,28035,"40.49082275610172,-3.7216054330053647",CircoMagia,
11488578,Espectro sensible. Arte en los límites de la percepción,Gratuito,,,2021-10-19,2021-10-19,19:30,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6445197c0715c710VgnVCM1000001d4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD,Matadero Madrid,1,"PLAZA LEGAZPI, 8",ARGANZUELA,CHOPERA,28045,"40.391054868587204,-3.6958072892892155",,
11120154,Estar presente en el cuerpo,Gratuito,,,2021-10-22,2021-10-22,19:00,"El Mindfulness como terapia para mejorar el humos y bienestar.       La pandemia ha alterado nuestrs rutinas y estado de ánimo. El Mindfulness reduce el estrés y mejora nuestro bienestar                  A cargo de Beatriz Rivera, Licenciada en Psicología por la UAM y Psicoterapeuta. Dirigido a público adulto, 12 plazas por orden de llegada sin inscripción previa)       Actividad abieta dirigida a público adulto, entrada libre hasta completar aforo",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9fb3f72a175ff610VgnVCM2000001f4a900aRCRD,Actividades  Centro Sociocultural Valverde (Fuencarral - El Pardo). Septiembre 2021,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=add7f3d685c54510VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f04c1e79ee71c010VgnVCM1000000b205a0aRCRD,Centro Sociocultural Valverde (Fuencarral - El Pardo),1,"PLAZA ISLAS AZORES, 1",FUENCARRAL-EL PARDO,VALVERDE,28034,"40.49504564211655,-3.6880070256093758",ConferenciasColoquios,
11330615,Estiramos y nos relajamos,Gratuito,M,,2021-10-05,2021-10-26,18:30,"Actívate y conecta con tu cuerpo a través del baile. Además, realizaremos ejercicios suaves para ponernos en marcha de forma progresiva, así como estiramientos y relajación para volver a la calma. Usa ropa cómoda y ten a mano una esterilla para completar tu experiencia.  Los martes de octubre de 18:30 a 20 h.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e401bbb3dbab7710VgnVCM1000001d4a900aRCRD,Cuerpo y movimiento,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b1848b3c5a666710VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=229425eae8975710VgnVCM2000001f4a900aRCRD,Espacio de Igualdad Ana Orantes. Barajas,1,"CALLE PLAYA DE SAN JUAN, 6",BARAJAS,TIMON,28042,"40.473659104975354,-3.592395079190456",CursosTalleres,Mujeres
11224972,Estudio Elii 'Machanguitos',Gratuito,"L,M,X,J,V,S,D",,2021-09-14,2021-12-31,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=314167ff644b4710VgnVCM1000001d4a900aRCRD,Estudio Elii 'Machanguitos',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=344167ff644b4710VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro de Cultura Contemporánea Conde Duque,1,"CALLE CONDE DUQUE, 11",CENTRO,UNIVERSIDAD,28015,"40.42802889001877,-3.710182353581842",ProgramacionDestacadaAgendaCultura,
11481571,Etnias del sur de Angola,Gratuito,"L,M,X,J,V,S,D",,2021-10-02,2021-10-30,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1cb9a1541e13c710VgnVCM2000001f4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=add63d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Pozo del tío Raimundo (Puente de Vallecas),1,"AVENIDA DE LAS GLORIETAS, 19",PUENTE DE VALLECAS,ENTREVIAS,28053,"40.3735856436473,-3.6602546064905397",Exposiciones,
11424295,Expo Clara Cruz,Gratuito,"L,M,X,J,V,S,D",,2021-10-01,2021-10-16,00:00,Descubre la obra fotográfica de Clara Cruz y dejate sorprender por una mirada única que narrra el mundo que nos rodea retratado desde su objetivo.   Fecha y hora de celebración:  del 1 al 16 de octubre  Periodo de inscripción: Hasta completar plazas. Inscripciones en www.bit.ly/inscripcioncj    Plazas: ?50% aforo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a687a01dfc14a710VgnVCM2000001f4a900aRCRD,Actividades en el centro juvenil 'Tetuán Punto Joven'. Julio 2021,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bd0ad1ab503e1410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2f9e41aee5a2a110VgnVCM1000000b205a0aRCRD,Centro Juvenil Tetuán Punto Joven,0,"CALLE DULCINEA, 4",TETUAN,CUATRO CAMINOS,28020,"40.447199849232135,-3.6998771920981004",,Jovenes
