 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA;
11320438;"Camino a Mercedes";"";"1";"0";"";"";"2021-11-04 00:00:00.0";"2021-11-04 23:59:00.0";"19:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f357e1f5e2277710VgnVCM1000001d4a900aRCRD";"Camino a Mercedes";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9b57e1f5e2277710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee4a1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Nicolás Salmerón (Chamartín)";"1";"CALLE";"MANTUANO";"51";"CHAMARTIN";"CIUDAD JARDIN";"28002";"442656";"4477714";"40.44810636195716";"-3.6762309620097398";"/contenido/actividades/1ciudad21distritos";"";
11405056;"Copa Davis 2021";"";"0";"1";"L,M,X,J,V,S,D";"";"2021-11-25 00:00:00.0";"2021-12-05 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0c9ee2f4dc2b9710VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c53179262ef5d010VgnVCM1000000b205a0aRCRD";"Pabellón Multiusos Madrid Arena (Recinto Ferial Casa de Campo)";"1";"AVENIDA";"PRINCIPAL";"14";"MONCLOA-ARAVACA";"CASA DE CAMPO";"28011";"437456";"4474126";"40.41352730435772";"-3.7384704159174076";"/contenido/actividades/ActividadesDeportivas";"";
11456674;"Copa Davis en el Recinto Ferial Casa de Campo";"";"0";"1";"L,M,X,J,V,S,D";"";"2021-11-25 00:00:00.0";"2021-12-05 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1014f567e869b710VgnVCM1000001d4a900aRCRD";"Copa Davis en el Recinto Ferial Casa de Campo";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=62b1f567e869b710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c53179262ef5d010VgnVCM1000000b205a0aRCRD";"Pabellón Multiusos Madrid Arena (Recinto Ferial Casa de Campo)";"1";"AVENIDA";"PRINCIPAL";"14";"MONCLOA-ARAVACA";"CASA DE CAMPO";"28011";"437456";"4474126";"40.41352730435772";"-3.7384704159174076";"/contenido/actividades/ActividadesDeportivas/Tenis";"";
11255283;"Madrid Urban Sport";"";"0";"1";"L,M,X,J,V,S,D";"";"2021-10-08 00:00:00.0";"2021-10-10 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f2ee6ee41fe65710VgnVCM2000001f4a900aRCRD";"Madrid Urban Sport";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d9afb7c566e65710VgnVCM1000001d4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas";"";
11480534;"Seminarios y cursos de autoprotección para mujeres";"";"0";"1";"X,J,V,S";"";"2021-10-06 00:00:00.0";"2021-12-18 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cd40a7b19703c710VgnVCM2000001f4a900aRCRD";"Seminarios de autoprotección para mujeres 2ª Fase 2021";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bafa024412e4f510VgnVCM1000001d4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas";"/usuario/Jovenes,/usuario/Mujeres";

