farmacia_nro_soe,titular_nombre,titular_nombre_id,direccion_vial_tipo,direccion_completa,same_as_wikidata_road,direccion_vial_id,direccion_vial_nombre,direccion_vial_nombre_id,direccion_vial_nro,km,municipio_nombre,same_as_wikidata_municipalityofspain,municipio_nombre_id,localizacion_coordenada_x,localizacion_coordenada_y
2,Amaya Corral Palomino,Amaya_Corral_Palomino,PLAZA,PLAZA del Dos de Mayo,https://wikidata.org/entity/Q1531008,PLAZA_del_Dos_de_Mayo_Madrid,del Dos de Mayo,del_Dos_de_Mayo,6,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440267,4475426
3,Montserrat Gimenez Mestre,Montserrat_Gimenez_Mestre,CALLE,CALLE de Rios Rosas,https://wikidata.org/entity/Q27267331,CALLE_de_Rios_Rosas_Madrid,de Rios Rosas,de_Rios_Rosas,50,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440954,4477004
4,Justo Aquilino Corral Aragon,Justo_Aquilino_Corral_Aragon,CALLE,CALLE de Argensola,https://wikidata.org/entity/Q28525557,CALLE_de_Argensola_Madrid,de Argensola,de_Argensola,12,,Madrid,http://wikidata.org/entity/Q2807,Madrid,441063,4475193
5,Irene Arroita Del Campo,Irene_Arroita_Del_Campo,CALLE,CALLE de Alcala,https://wikidata.org/entity/Q2424746,CALLE_de_Alcala_Madrid,de Alcala,de_Alcala,98,,Madrid,http://wikidata.org/entity/Q2807,Madrid,442754,4475148
6,Esther Sansi Ponsico,Esther_Sansi_Ponsico,PLAZA,PLAZA de Salesas,https://wikidata.org/entity/Q28916480,PLAZA_de_Salesas_Madrid,de Salesas,de_Salesas,7,,Madrid,http://wikidata.org/entity/Q2807,Madrid,441090,4475021
7,Pilar Velez De Mendoza,Pilar_Velez_De_Mendoza,CALLE,CALLE de Leopoldo Alas Clarin,,CALLE_de_Leopoldo_Alas_Clarin_Madrid,de Leopoldo Alas Clarin,de_Leopoldo_Alas_Clarin,8,,Madrid,http://wikidata.org/entity/Q2807,Madrid,437825,4481330
8,Manuel Baños Lopez,Manuel_Baños_Lopez,CALLE,CALLE Caceres,,CALLE_Caceres_San_Fernando_de_Henares,Caceres,Caceres,5,,San Fernando de Henares,http://wikidata.org/entity/Q842211,San_Fernando_de_Henares,454673,4475306
9,Roberto Garcia Sanchez,Roberto_Garcia_Sanchez,GTA,GTA de Lopez de Hoyos,,GTA_de_Lopez_de_Hoyos_Madrid,de Lopez de Hoyos,de_Lopez_de_Hoyos,3,,Madrid,http://wikidata.org/entity/Q2807,Madrid,442277,4476922
10,David Lagos Sanchez,David_Lagos_Sanchez,CALLE,CALLE del Valle de Mena,,CALLE_del_Valle_de_Mena_Madrid,del Valle de Mena,del_Valle_de_Mena,4,,Madrid,http://wikidata.org/entity/Q2807,Madrid,439379,4480188
11,Rosa Maria Perello Gonzalez-Moreno,Rosa_Maria_Perello_Gonzalez-Moreno,CALLE,CALLE del Principe de Vergara,https://wikidata.org/entity/Q5741020,CALLE_del_Principe_de_Vergara_Madrid,del Principe de Vergara,del_Principe_de_Vergara,210,,Madrid,http://wikidata.org/entity/Q2807,Madrid,442561,4478050
