Bid,tipoResiduo,nivelLlenado,estado,fecha
1523276,resto,0,OK,2021-10-06T10:37:08
1523267,envases,0,OK,2021-10-06T10:10:18
1523279,envases,6,OK,2021-10-06T10:09:13
1523280,resto,0,OK,2021-10-06T10:35:24
1523282,resto,0,OK,2021-10-06T10:13:14
1523285,resto,4,OK,2021-10-06T09:38:31
1523292,resto,2,OK,2021-10-06T10:50:34
1523293,resto,0,OK,2021-10-06T10:58:04
1523296,envases,6,OK,2021-10-06T10:16:41
1523298,resto,2,OK,2021-10-06T10:19:23
1523308,envases,6,OK,2021-10-06T09:31:43
1523317,resto,0,OK,2021-10-06T09:21:45
1523319,envases,2,OK,2021-10-06T10:12:58
1523329,resto,4,OK,2021-10-06T09:44:19
1523328,resto,4,OK,2021-10-06T10:22:41
1523352,resto,4,OK,2021-10-06T10:22:19
1523356,envases,0,OK,2021-10-06T10:38:18
1523359,envases,4,OK,2021-10-06T09:36:32
1523360,resto,4,OK,2021-10-06T10:18:25
1523464,envases,2,OK,2021-10-06T11:00:16
1523466,resto,0,OK,2021-10-06T10:02:07
1523473,envases,2,OK,2021-10-06T10:53:31
1523472,resto,4,OK,2021-10-06T10:19:24
1523479,envases,6,OK,2021-10-06T10:03:16
1523481,envases,0,OK,2021-10-06T10:52:08
1523483,resto,0,OK,2021-10-06T10:03:38
1523485,envases,0,OK,2021-10-06T10:48:42
1523486,resto,0,OK,2021-10-06T09:34:23
1523492,resto,6,OK,2021-10-06T10:44:41
1523493,resto,2,OK,2021-10-06T10:59:14
1523496,envases,2,OK,2021-10-06T09:35:58
1523504,envases,4,OK,2021-10-06T10:01:57
1523501,resto,6,OK,2021-10-06T11:04:39
1523505,resto,0,OK,2021-10-06T10:45:54
1523502,envases,0,OK,2021-10-06T11:01:33
1523506,resto,6,OK,2021-10-06T03:26:50
1523507,resto,2,OK,2021-10-06T09:47:16
1523508,resto,2,OK,2021-10-06T09:42:21
1523510,resto,4,OK,2021-10-06T10:12:21
1523511,resto,0,OK,2021-10-06T10:50:37
1523512,envases,2,OK,2021-10-06T10:32:56
1523513,envases,4,OK,2021-10-06T10:16:50
1523516,resto,6,OK,2021-10-06T10:15:14
1523520,resto,0,OK,2021-10-06T09:38:10
1523519,resto,0,OK,2021-10-06T10:32:09
1523522,resto,0,OK,2021-10-06T10:22:47
1523521,resto,6,OK,2021-10-06T10:30:44
1523524,resto,0,OK,2021-10-06T11:03:20
1523529,resto,2,OK,2021-10-06T10:05:20
1523530,envases,4,OK,2021-10-06T09:54:04
1523531,resto,4,OK,2021-10-06T09:52:42
1523533,envases,0,OK,2021-10-06T10:08:46
1523535,envases,0,OK,2021-10-06T10:48:11
1523534,resto,0,OK,2021-10-06T09:53:28
1523536,resto,0,OK,2021-10-06T10:55:23
1523538,envases,0,OK,2021-10-06T10:26:46
1523541,envases,4,OK,2021-10-06T10:16:01
1523540,resto,0,OK,2021-10-06T10:45:56
1523542,envases,0,OK,2021-10-06T11:03:34
1523545,envases,0,OK,2021-10-06T10:40:12
1523546,resto,0,OK,2021-10-06T10:46:43
