stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_8_12816,12816,CUBA-BUENOS AIRES,Calle  Cuba 1,40.4251815656954,-3.5573227353506,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_12817,12817,CUBA-BUENOS AIRES,Calle  Cuba 6,40.4251468947448,-3.55703952909203,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_12818,12818,URUGUAY-PZA.HISPANIDAD,Calle   Uruguay 9,40.4255496128143,-3.55384819299049,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_17388,17388,ESTOCOLMO-ESTADIO METROPOLITANO,Calle de Estocolmo 91,40.4330932476633,-3.60188244397734,A,http://www.crtm.es,0,,Europe/Madrid,2
par_8_17578,17578,MANUEL MARÍA DE ZULUETA-LA IGLESIA,Calle de Manuel María de Zulueta 1,40.4269590843867,-3.56786467347556,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_20653,20653,HONDURAS-EST.LA RAMBLA,Calle   Honduras sn,40.4250280610318,-3.54797333251942,B1,http://www.crtm.es,0,,Europe/Madrid,0
par_8_20654,20654,HONDURAS-AV.JOSÉ GÁRATE,Calle   Honduras 2,40.4262066338773,-3.55209709244845,B1,http://www.crtm.es,0,,Europe/Madrid,0
par_8_242,242,ASCAO-JULIÁN CAMARILLO,Calle   Institución Libre de Enseñanza 40,40.4326577589938,-3.63446509204144,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_243,243,ASCAO-JULIÁN CAMARILLO,Calle  Institución Libre de Enseñanza 35,40.432471426835,-3.63394459876174,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_3016,3016,AV.ARCENTALES-SAN ROMUALDO,Avda de Arcentales 27,40.4336390662383,-3.61795681109194,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_3017,3017,AV.ARCENTALES-SAN ROMUALDO,Avda de Arcentales 27,40.4339179514134,-3.61803010334606,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_3018,3018,AV.ARCENTALES-AV.CANILLEJAS,Avda de Arcentales 27,40.434048665097,-3.61378694641697,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_3019,3019,AV.ARCENTALES-ALBADALEJO,Avda de Arcentales 27,40.4343549541098,-3.61378973158255,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_4783,4783,AV.ARCENTALES-AV.CANILLEJAS A VICALVARO,Avda de Arcentales 14,40.4344026099504,-3.61159723711709,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_4784,4784,AV.ARCENTALES-AV.NIZA,Avda de Arcentales 28,40.4349228278589,-3.60861907415094,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_50009,50009,ESTOCOLMO-ESTADIO METROPOLITANO,Ctra de San Blas a Coslada 1,40.4339804843305,-3.60277459503847,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_978,978,METRO GARCÍA NOBLEJAS,Calle de Emilio Muñoz 1 C,40.4303041527264,-3.63158998244333,A,http://www.crtm.es,0,,Europe/Madrid,0
